name,dataset,n_neurons,activation,encoder_strategy,solver,solver_kwargs,metric_name,train_metric,test_metric,fit_time
RecTP-row-reconstruction-seed0,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 0, ""state_target"": ""reconstruction"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.24346666666666666,0.2415,553.2273680870001
RecTP-row-reconstruction-seed1,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 1, ""state_target"": ""reconstruction"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.24325,0.2404,564.383281162
RecTP-row-reconstruction-seed2,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 2, ""state_target"": ""reconstruction"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.24311666666666668,0.2404,564.8812716140001
RecTP-row-predictive-seed0,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 0, ""state_target"": ""predictive"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.3685333333333333,0.3582,567.3109751509996
RecTP-row-predictive-seed1,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 1, ""state_target"": ""predictive"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.3641666666666667,0.3574,570.2295692949997
RecTP-row-predictive-seed2,sMNIST-row,2000,relu,hypersphere,tikhonov,"{""alpha"": 0.01, ""mode"": ""row"", ""seed"": 2, ""state_target"": ""predictive"", ""tp_eta"": 0.1, ""tp_iters"": 50, ""tp_lr"": 0.001}",accuracy,0.37115,0.3647,569.0668220019998
