name,dataset,n_neurons,activation,encoder_strategy,solver,solver_kwargs,metric_name,train_metric,test_metric,fit_time
Multi 32×3 20k ×5 +std +hflip,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8968199491500854,0.7717999815940857,168.0830738544464
Multi 32×3 20k ×10 +std +hflip,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8973199725151062,0.7767999768257141,343.6538152694702
Multi 32×3 20k ×10 +std +crop+flip,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.909280002117157,0.7698999643325806,343.8621747493744
Multi 32×3 20k ×5 +std +crop+flip α=2e-2,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.02}",accuracy,0.8863199949264526,0.7623999714851379,172.29195713996887
Multi 32×3 20k ×5 +std +crop+flip α=5e-2,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.05}",accuracy,0.8522599935531616,0.7497000098228455,171.8998532295227
Rect(3×7+7×3+5) 10k +std,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8580799698829651,0.7109000086784363,6.898250102996826
Rect(3×7+7×3+5) 10k +std +crop+flip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8169800043106079,0.722000002861023,12.911890506744385
Mixed5(3+5+7+3×7+7×3) 10k +std +crop+flip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8149200081825256,0.722599983215332,14.70935344696045
Rect(3×7+7×3+5) ×5 +std +crop+flip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8371999859809875,0.7351999878883362,64.70577621459961
Mixed5(3+5+7+3×7+7×3) ×5 +std +crop+flip,cifar10,10000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.8420999646186829,0.7448999881744385,73.6360182762146
Rect(3×7+7×3+5) 20k ×5 +std +crop+flip,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.9002400040626526,0.7585999965667725,173.81060647964478
Mixed5 20k ×5 +std +crop+flip,cifar10,20000,abs,hypersphere,ridge,"{""alpha"": 0.01}",accuracy,0.9095199704170227,0.7662000060081482,184.30058240890503
